ID,Category,Title,Response,Representative Questions
2018,Donations,Donations,"<p>If your nonprofit organization would like to request an in-kind donation of product(s) or gift cards, please submit a request, written on your organization's letterhead, to your local Club a minimum of six (6) weeks prior to your donation deadline.</p><NEWLINE><NEWLINE><p>Please include in your request:</p><NEWLINE><NEWLINE><ul><NEWLINE><TAB><li>A brief description of your organization's mission</li><NEWLINE><TAB><li>An explanation of your donation needs</li><NEWLINE><TAB><li>In the case of an event, a brief description of your event, including date If there are any marketing benefits or logo placements received by BJ's Wholesale Club Inc. in the case of a donation</li><NEWLINE><TAB><li>A contact name and mailing address in the case you are approved</li><NEWLINE></ul><NEWLINE><NEWLINE><p>BJ's receives far more contribution requests than we can honor. As a result, we cannot support every donation request, and may not be able to support your request. We do commit to giving every request the attention and review it deserves.</p><NEWLINE><NEWLINE><p> </p>",donations<NEWLINE>donate<NEWLINE>charity<NEWLINE>
2017,Careers,Careers,"<p>Thank you for contacting BJ's about pursuing career opportunities with us.  If you'd like to find out what jobs we have available, please visit <a href=""https://www.bjs.com/careers/"" target=""_blank"">careers.bjs.com</a> to apply for a position. To find available positions, select <b>Apply Today</b> in the top right hand corner of the webpage. You will then be able to search jobs by keyword or can filter by location, full time vs. part time, and career field.</p><NEWLINE><NEWLINE><p> </p>",careers<NEWLINE>career fair<NEWLINE>hiring event<NEWLINE>hiring<NEWLINE>jobs<NEWLINE>
2016,Social Intents,Spanish Request,"<p>Ok, I'll try to find a Team Member who can help you.</p>",spanish<NEWLINE>espanola<NEWLINE>espanol<NEWLINE>
2015,Gas,BJ's Gas Savings Program,"<p>Every member can lower their price per gallon of gas with BJ's Gas Savings Program. Save 10 cents a gallon at BJ's Gas when you buy eligible products. </p><NEWLINE><NEWLINE><p>Here's our <a href=""https://www.bjs.com/biz/gas/product_list.pdf"" target=""_blank"">Current List of Eligible Items</a><br /><NEWLINE>To find a BJ's Gas Station, see how many gas discounts you've earned, or to learn more about BJ's Gas Savings Program, visit <a href=""https://www.bjs.com/gas"" target=""_blank"">www.bjs.com/gas</a>.</p>",gas<NEWLINE>petrol<NEWLINE>BJ's Gas Savings Program<NEWLINE>fuel<NEWLINE>gas station<NEWLINE>I want to know about bjs gas<NEWLINE>
2014,Refund & Return,Product Recalls,"<p>BJ's believes in keeping members informed on product recalls and other important news. For an up-to-date list on product recalls, see <a href=""https://www.bjs.com/content?template=B&espot_main=recalls&source=footer"" target=""_blank"">BJ's Product Recalls</a></p>",recall<NEWLINE>recalls<NEWLINE>recalled<NEWLINE>Product Recalls<NEWLINE>
2013,Promotion,Redeeming Membership Renewal Vouchers,"<p>If you signed up for a BJ's membership via Groupon, you should have received a Groupon voucher number. This voucher number is your BJ's membership number, and the membership is valid from the date you bought the Groupon. </p>",groupon<NEWLINE>membership renewal voucher<NEWLINE>membership renewal discount<NEWLINE>Redeeming Membership Renewal Vouchers<NEWLINE>how to redeem renewal voucher<NEWLINE>
2012,Refund & Return,Price Adjustments,"<p>If you placed an order within the past 30 days that was shipped to your home, and the price has dropped, you may be eligible for a price drop. Please note that we cannot honor price drops on bulk orders (orders for 10 or more units of the same item, totaling $10,000 or higher, as ordered through a B2B account or via a B2B sales rep) or clearance items (items with prices ending in eight cents).</p><NEWLINE><NEWLINE><p>If you bought an item in-club, via in-club pickup, or via same day delivery, please visit the Member Services desk in-club within 7 days of purchase to ask them to honor a price drop.</p>",price adjustment<NEWLINE>price adjustments<NEWLINE>price match<NEWLINE>price matching<NEWLINE>price drop<NEWLINE>adjust price<NEWLINE>price difference<NEWLINE>price correction<NEWLINE>Price change<NEWLINE>price match on items bought online<NEWLINE>I bought a product and it is now on sale for cheaper<NEWLINE>now cheaper<NEWLINE>now on sale<NEWLINE>i bought a product but now it is cheaper<NEWLINE>
2011,Location,Club Inventory,"<p>To see if an item is available in your local club, first set your home club by going to the top left hand corner of BJs.com and making sure we have the correct location where it says ""You're Shopping [City Name]."" To change your home club, click on the city name, find your local club, and click the red ""Make My Club"" button under that location.</p><NEWLINE><NEWLINE><p>Then look up the item you need, and select the Free Pickup or Same-Day Delivery option on the product page. If Free Pickup or Same-Day Delivery show the item in stock, that means it is available at your local club. You can order it via Free Pickup or Same-Day Delivery, or you can visit your local club to buy it.</p>",club inventory<NEWLINE>in stock at my club<NEWLINE>check stock<NEWLINE>stock status<NEWLINE>in-store inventory<NEWLINE>store inventory<NEWLINE>do you have in stock?<NEWLINE>item availability <NEWLINE>
2010,Location,Local Club Information,"<p>To find a club near you and to see the address, phone number, and hours of our clubs, see our <a href=""https://www.bjs.com/clubLocator"" target=""_blank"">BJ's Club Locator</a></p>",club hours<NEWLINE>club contact<NEWLINE>club inventory<NEWLINE>what are your hours?<NEWLINE>when is the store open<NEWLINE>store hours<NEWLINE>question about a club<NEWLINE>hours<NEWLINE>call bjs<NEWLINE>phone number<NEWLINE>contact info<NEWLINE>Im trying to see if in any physical store<NEWLINE>
2009,Promotion,Tax Exemption,"<p>If you are a tax-exempt business member and need to request a sales tax refund, please fill out and submit <a href=""https://www.bjs.com/biz/help/sales_tax_exemption_claim.pdf"" target=""_blank"">this form</a>.</p>",tax rebate<NEWLINE>tax exempt<NEWLINE>tax refund<NEWLINE>tax exemption<NEWLINE>no tax<NEWLINE>tax form<NEWLINE>tax exemption claim<NEWLINE>
2008,BJ's Perks Mastercard,BJ's Perks Mastercard Credit Cards,"<p>Start earning cash back today using the BJ's Perks® Mastercard®. Benefits include 10¢ off each gallon at BJ's Gas, 2% cash back at non-BJ's stations, 2% cash back when dining out, and 1% cash back when shopping everywhere else MasterCard is accepted. Enjoy these benefits with no annual credit card fee.</p><NEWLINE><NEWLINE><p>For more information on BJs Perks Plus® and Perks Elite® Mastercard® credit cards, see <a href=""https://www.bjs.com/cobranded/perksLanding"" target=""_blank"">BJ's Perks® Mastercard®</a></p><NEWLINE><NEWLINE><p>Too apply for a BJ's Perks® Mastercard®, see <a href=""https://c.comenity.net/ac/bjs/public/home"" target=""_blank"">My BJ's Perks® Mastercard® Application</a></p>",How much is the yearly annual fee?<NEWLINE>bjs credit card<NEWLINE>info on bjs credit card<NEWLINE>info on bjs mastercard<NEWLINE>about BJ's perks mastercard<NEWLINE>about Bj's credit cards<NEWLINE>How much is the yearly annual fee?<NEWLINE>credit card<NEWLINE>credit card support<NEWLINE>credit card help<NEWLINE>
2007,Travel,BJ's Vacation and Travel,"<p>BJ's Travel allows BJ's members to book a variety of cruises, car rentals, hotels and vacation packages at exclusive member pricing. </p><NEWLINE><NEWLINE><p>To book your next getaway with BJ's, see <a href=""https://travel.bjs.com/"" target=""_blank"">BJ's Travel</a></p>",vacation<NEWLINE>travel<NEWLINE>flights<NEWLINE>cruises<NEWLINE>hotels<NEWLINE>BJ's Vacation and Travel<NEWLINE>
2006,Promotion,Military Discount,"<p>To show our appreciation, all military personnel get over 25% off their Membership plus a $10 coupon*, as well as 25% off Grocery Store prices.</p><NEWLINE><NEWLINE><p>*That's $80 instead of the regular $110 for a 1-Year BJ's Perks Rewards Membership, or $40 instead of $55 for a 1-Year BJ's Inner Circle Membership</p><NEWLINE><NEWLINE><p>Verify military affiliation <a href=""https://hosted-pages.id.me/bjs-bj-s-wholesale-club-perks-rewards"" target=""_blank"">here</a><br /><NEWLINE>For more info, see <a href=""https://www.bjs.com/content?template=D&espot_main=minisite_military%2F"" target=""_blank"">Military Discounts</a></p>",military<NEWLINE>veteran<NEWLINE>army vet<NEWLINE>army<NEWLINE>military discount<NEWLINE>
2005,Payment,Snap (EBT) Payment,"<p>We are now accepting SNAP EBT payments at BJs.com for Free Pickup, Shipping and Same-Day Delivery orders in a growing list of states. For instructions on how to pay with SNAP EBT, and an updated list on participating states, see BJ's EBT (https://www.bjs.com/help/ebt/)</p>",snap<NEWLINE>ebt<NEWLINE>food stamps<NEWLINE>supplementary nutrition<NEWLINE>do you accept stamps?<NEWLINE>accept food stamps<NEWLINE>snap ent payments<NEWLINE>it doesn’t have a place for snap ent payments.<NEWLINE>EB T<NEWLINE>ebt/snap<NEWLINE>snap/ebt<NEWLINE>I have been trying to place an order with my EBT and it won’t allow me.<NEWLINE>
2004,BJ's Perks Mastercard,BJ's Perks Mastercard Application,"<p>To apply for a BJ's Perks® Mastercard® Credit Card, and for information on Benefits, Terms and Conditions, see <a href=""https://c.comenity.net/ac/bjs/public/home"" target=""_blank"">My BJ's Perks® Mastercard® Application</a></p>",credit card application<NEWLINE>how do I apply for credit card<NEWLINE>apply for credit card<NEWLINE>perks mastercard application<NEWLINE>mastercard application<NEWLINE>apply for mastercard<NEWLINE>apply for bjs perks mastercard<NEWLINE>
2003,General,One Day Passes,"<p>BJ's 1-Day Online Pass allows guests to try out BJs.com for 24 hours before purchasing a membership. </p><NEWLINE><NEWLINE><p>For more info, see <a href=""https://www.bjs.com/help/1-day-shopping-pass-for-bjs-com/"" target=""_blank"">1-Day Shopping Pass</a></p>",one day pass<NEWLINE>1 day pass<NEWLINE>without a membership<NEWLINE>day pass<NEWLINE>if I don't have a membership<NEWLINE>can you purchase on the day of visit?<NEWLINE>Do you need a membership to just go in and check things out?<NEWLINE>
